Gis_X;Gis_Y;Fecha de Alta;Distrito;Barrio;Calle;Número de Finca;Código;Nº Cámara;Cámara;LONGITUD;LATITUD;NOMBRE
440308,6557;4475620,326;43434;01  CENTRO;01-05 UNIVERSIDAD;RUIZ, CALLE, DE;23; Entrada;24 e;30;-3.7037134;40.4290794;RUIZ, CALLE, DE, 23
440120,739;4475636,076;43434;01  CENTRO;01-05 UNIVERSIDAD;RUIZ JIMENEZ, GLORIETA, DE;8; Entrada;25.1 e;31;-3.7059302;40.4292077;RUIZ JIMENEZ, GLORIETA, DE, 8
440121,6557;4475635,909;43434;01  CENTRO;01-05 UNIVERSIDAD;RUIZ JIMENEZ, GLORIETA, DE;8; Entrada;25.2 e;32;-3.7059193;40.4292063;RUIZ JIMENEZ, GLORIETA, DE, 8
439963,489;4475680,993;43434;01  CENTRO;01-05 UNIVERSIDAD;ACUERDO, CALLE, DEL;41; Entrada;26 e;33;-3.7077881;40.429601;ACUERDO, CALLE, DEL, 41
439736,0723;4475718,159;43434;01  CENTRO;01-05 UNIVERSIDAD;BALTASAR GRACIAN, CALLE, DE;6; Entrada;27 e;34;-3.7104726;40.4299194;BALTASAR GRACIAN, CALLE, DE, 6
439566,0723;4475675,159;43434;01  CENTRO;01-05 UNIVERSIDAD;SANTA CRUZ DE MARCENADO, CALLE, DE;24 B; Entrada;28.1 e;35;-3.7124725;40.4295197;SANTA CRUZ DE MARCENADO, CALLE, DE, 24 B
439563,4057;4475672,243;43434;01  CENTRO;01-05 UNIVERSIDAD;SANTA CRUZ DE MARCENADO, CALLE, DE;24 B; Entrada;28.2 e;36;-3.7125036;40.4294932;SANTA CRUZ DE MARCENADO, CALLE, DE, 24 B
439423,2807;4475507,826;43434;01  CENTRO;01-05 UNIVERSIDAD;SEMINARIO DE NOBLES, CALLE, DEL;2; Entrada;29 e;37;-3.7141399;40.4280019;SEMINARIO DE NOBLES, CALLE, DEL, 2
439452,0307;4475451,076;43434;01  CENTRO;01-05 UNIVERSIDAD;MARTIRES DE ALCALA, CALLE, DE LOS;2; Entrada;30 e;38;-3.7137955;40.4274928;MARTIRES DE ALCALA, CALLE, DE LOS, 2
439518,2807;4475351,451;43434;01  CENTRO;01-05 UNIVERSIDAD;DUQUE DE LIRIA, CALLE, DEL;S/N; Entrada;31 e;39;-3.7130051;40.4266001;DUQUE DE LIRIA, CALLE, DEL, S/N
439715,2807;4475011,951;43434;01  CENTRO;01-05 UNIVERSIDAD;REYES, CALLE, DE LOS;18; Entrada;32 e;40;-3.7106507;40.423556;REYES, CALLE, DE LOS, 18
439710,8223;4474976,243;43434;01  CENTRO;01-01 PALACIO;GRAN VIA, CALLE;73; Entrada;33.1 e;41;-3.7106999;40.423234;GRAN VIA, CALLE, 73
439712,739;4474978,826;43434;01  CENTRO;01-01 PALACIO;GRAN VIA, CALLE;73; Entrada;33.2 e;42;-3.7106775;40.4232575;GRAN VIA, CALLE, 73
439679,6557;4474965,743;43434;01  CENTRO;01-01 PALACIO;LEGANITOS, CALLE, DE;47; Entrada;34 e;43;-3.7110662;40.4231372;LEGANITOS, CALLE, DE, 47
439539,5723;4474664,743;43434;01  CENTRO;01-01 PALACIO;MARINA ESPAÑOLA, PLAZA, DE LA;8; Entrada;35 e;44;-3.7126888;40.4204155;MARINA ESPAÑOLA, PLAZA, DE LA, 8
439563,3223;4474563,243;43434;01  CENTRO;01-01 PALACIO;SAN QUINTIN, CALLE, DE;6; Entrada;36 e;45;-3.7123993;40.4195028;SAN QUINTIN, CALLE, DE, 6
439525,7807;4474298,576;43434;01  CENTRO;01-01 PALACIO;REQUENA, CALLE, DE;7; Entrada;37 e;46;-3.7128166;40.4171159;REQUENA, CALLE, DE, 7
439482,4057;4474066,826;43434;01  CENTRO;01-01 PALACIO;MAYOR, CALLE;77; Entrada;38.1 e;47;-3.7133057;40.4150251;MAYOR, CALLE, 77
439482,4057;4474069,701;43434;01  CENTRO;01-01 PALACIO;MAYOR, CALLE;77; Entrada;38.2;48;-3.713306;40.4150509;MAYOR, CALLE, 77
439188,489;4473936,493;43439;01  CENTRO;01-01 PALACIO;SEGOVIA, RONDA, DE;S/N; Entrada;39 e;49;-3.7167573;40.4138295;SEGOVIA, RONDA, DE, S/N
439451,2807;4473837,076;43434;01  CENTRO;01-01 PALACIO;ANGOSTA DE LOS MANCEBOS, CALLE;8; Entrada;40 e;50;-3.7136507;40.4129531;ANGOSTA DE LOS MANCEBOS, CALLE, 8
