COD_TIPO_DATO;TIPO_DATO;IDENTIFICADOR_MINT;COD_ELEMENTO;COD_NDP;DIRECCION_COMPLETA;DIRECCION AUXILIAR;CENTRO;COD_VIAL;CLASE_VIAL;PARTICULAS_VIAL;NOMBRE_VIAL;TIPO_NÚMERO;NÚMERO;COD_BARRIO;BARRIO;COD_DISTRITO;DISTRITO;UTMX;UTMY;LATITUD;LONGITUD;HORARIO;OBSERVACIONES;;;;
75;Contenedor de ropa;;;;Calle  Padre Damian, 30 ;;;MADRID;Calle;;Padre Damian;número;30;;;;Chamartin;441799,11;4478639,21;40.45638;-3.68642;;;;;;
76;Contenedor de ropa;;;;Calle  Doctor Fleming, 11 ;;;MADRID;Calle;;Doctor Fleming;número;11;;;;Chamartin;441619,33;4478635,01;40.45633;-3.68854;;;;;;
77;Contenedor de ropa;;;;Calle  Carlos Maurras, 7 ;;;MADRID;Calle;;Carlos Maurras;número;7;;;;Chamartin;441667,02;4479207,40;40.46149;-3.68803;;;;;;
78;Contenedor de ropa;;;;Calle  Doctor Fleming, 42 ;;;MADRID;Calle;;Doctor Fleming;número;42;;;;Chamartin;441690,93;4479200,34;40.460731;-3.687709;;;;;;
79;Contenedor de ropa;;;;Calle  Padre Damián, 44 ;;;MADRID;Calle;;Padre Damián;número;44;;;;Chamartin;441908,65;4478986,93;40.45952;-3.68516;;;;;;
80;Contenedor de ropa;;;;Calle  Apolonio Morales, 3 ;;;MADRID;Calle;;Apolonio Morales;número;3;;;;Chamartin;441999,43;4479428,02;40.4635;-3.68413;;;;;;
81;Contenedor de ropa;;;;Paseo de la Habana, 190 ;; Centro Geriatrico;MADRID;Paseo;de la;Habana;número;190;;;;Chamartin;442297,27;4479229,28;40.46173;-3.6806;;;;;;
82;Contenedor de ropa;;;;Calle  Felix Boix, 13 ;;Parroquia Santisimo Redentor;MADRID;Calle;;Felix Boix;número;13;;;;Chamartin;441849,21;4479413,65;40.46336;-3.6859;;;;;;
83;Contenedor de ropa;;;;Calle  Conde de Torralba, 8 ;;;MADRID;Calle;;Conde de Torralba;número;8;;;;Chamartin;441958,32;4481194,78;40.478716;-3.684738;;;;;;
84;Contenedor de ropa;;;;Calle  Mauricio Legendre, 17 ;;;MADRID;Calle;;Mauricio Legendre;número;17;;;;Chamartin;441803,63;4480325,11;40.470871;-3.686483;;;;;;
85;Contenedor de ropa;;;;Calle  Mateo Inurria, 35 ;;;MADRID;Calle;;Mateo Inurria;número;35;;;;Chamartin;442218,29;4479880,38;40.46759;-3.68159;;;;;;
86;Contenedor de ropa;;;;Avenida de Burgos, 17 ;;;MADRID;Avenida;de;Burgos;número;17;;;;Chamartin;442686,05;4480593,82;40.473353;-3.676099;;;;;;
87;Contenedor de ropa;;;;Calle  Pastora Imperio, 1 ;;;MADRID;Calle;;Pastora Imperio;número;1;;;;Chamartin;442817,15;4481362,14;40.48098;-3.67466;;;;;;
88;Contenedor de ropa;;;;Calle  Buganvilla, 2 esq. Av Burgos;esq. Av Burgos;;MADRID;Calle;;Buganvilla;número;2;;;;Chamartin;442657,87;4480390,11;40.471516;-3.676413;;;;;;
89;Contenedor de ropa;;;;Calle  Dolores Sanchez Carrascosa, 3 ;;;MADRID;Calle;;Dolores Sanchez Carrascosa;número;3;;;;Chamartin;442465,21;4479912,80;40.4679;-3.67868;;;;;;
90;Contenedor de ropa;;;;Avenida   Pio XII, 43 ;;;MADRID;Avenida;; Pio XII;número;43;;;;Chamartin;442701,61;4479555,82;40.4647;-3.67586;;;;;;
91;Contenedor de ropa;;;;Avenida  Madre de Dios, 2 ;;;MADRID;Avenida;;Madre de Dios;número;2;;;;Chamartin;442797,63;4479375,41;40.462385;-3.674673;;;;;;
92;Contenedor de ropa;;;;Avenida  Alfonso XIII, 182 ;;;MADRID;Avenida;;Alfonso XIII;número;182;;;;Chamartin;442580,25;4479097,16;40.46056;-3.67725;;;;;;
93;Contenedor de ropa;;;;Calle  Puerto Rico, 52 ;;Instalación Deportiva Municipal Básica Puerto Rico;MADRID;Calle;;Puerto Rico;número;52;;;;Chamartin;442844,47;4478936,48;40.45913;-3.67412;;;;;;
94;Contenedor de ropa;;;;Calle  Bolivia, 14 ;;;MADRID;Calle;;Bolivia;número;14;;;;Chamartin;442522,79;4478673,59;40.45674;-3.67789;;;;;;
95;Contenedor de ropa;;;;Calle  Serrano, 224 ;;;MADRID;Calle;;Serrano;número;224;;;;Chamartin;442328,70;4478254,39;40.45295;-3.68014;;;;;;
96;Contenedor de ropa;;;;Calle  Chile, 24 ;;;MADRID;Calle;;Chile;número;24;;;;Chamartin;442709,11;4478832,81;40.457491;-3.675668;;;;;;
97;Contenedor de ropa;;;;Calle  Urugua, 35 ;;;MADRID;Calle;;Urugua;número;35;;;;Chamartin;443034,33;4478498,77;40.4552;-3.67184;;;;;;
98;Contenedor de ropa;;;;Avenida de Alfonso XIII, 91 ;;;MADRID;Avenida;de;Alfonso XIII;número;91;;;;Chamartin;443418,70;4478639,00;40.45649;-3.66732;;;;;;
99;Contenedor de ropa;;;;Avenida de Alfonso XIII, 128 ;;Punto Limpio Fijo;MADRID;Avenida;de;Alfonso XIII;número;128;;;;Chamartin;443406,10;4478882,22;40.45868;-3.66749;;;;;;
100;Contenedor de ropa;;;;Paseo  Alameda de Osuna, 67 ;;;MADRID;Paseo;;Alameda de Osuna;número;67;;;;Barajas;449896,40;4478683,83;40.4573;-3.59093;;;;;;
101;Contenedor de ropa;;;;Plaza  Navio, 4 ;;Centro Integrado Teresa De Calcuta;MADRID;Plaza;;Navio;número;4;;;;Barajas;450182,68;4478453,34;40.4552;-3.58754;;;;;;
102;Contenedor de ropa;;;;Calle  Pinos de Osuna, 7 ;;;MADRID;Calle;;Pinos de Osuna;número;7;;;;Barajas;449741,76;4478132,11;40.4533;-3.59271;;;;;;
103;Contenedor de ropa;;;;Calle  Balandro, 32 ;;Mercado de Alameda de Osuna;MADRID;Calle;;Balandro;número;32;;;;Barajas;449929,80;4478353,90;40.4544;-3.59051;;;;;;
104;Contenedor de ropa;;;;Avenida de Logroño, 235 ;;Centro Deportivo Municipal de Barajas;MADRID;Avenida;de;Logroño;número;235;;;;Barajas;4501940,22;4479293,55;40.4628;-3.58746;Lunes a Viernes 08:30 a 21:00. Sábados, domingos y festivos 08:30 a 14:30;;;;;
105;Contenedor de ropa;;;;Avenida  General, 34 ;;Hiber;MADRID;Avenida;;General;número;34;;;;Barajas;450757,51;4480198,11;40.470306;-3.580859;;;;;;
106;Contenedor de ropa;;;;Plaza de los Hermanos Falco y Alvarez  de Toledo, 11 ;;;MADRID;Plaza;de los;Hermanos Falco y Alvarez  de Toledo;número;11;;;;Barajas;451072,50;4480605,33;40.473993;-3.577175;;;;;;
107;Contenedor de ropa;;;;Calle de la  Botica, 7 ;;Centro Cultural Villa de Barajas;MADRID;Calle;de la ;Botica;número;7;;;;Barajas;450961,99;4480468,10;40.4744;-3.5785;Lunes a Viernes  9:00 a 14:00 y de 17:00 a 19:00;;;;;
