Parada;nodo Inter Urbano;TIPO MOBILIARIO (ACTUAL);DISTRITO;DIRECCIÓN;VIAL;Nº;emplazamiento;sentido;Direccion_completa;Coord ED50_X;Coord ED50_Y;CONT PILAS;nº_linea;X ETRS89 U.T.M.;Y ETRS89 U.T.M.;Longitud;Latitud
660;;MARQUESINA MOD XXI 4-M REDUCIDA;LATINA;POBLADOS (DE LOS);AV;0;FTE PRISION PROVINCIAL;N-401;POBLADOS (DE LOS), AVD Nº0 FTE PRISION PROVINCIAL N-401;435788,9;4470613,4;SI;121/131/139/482/485/491/492/493/N802/N803/N804/;435679,51;4470405,96;-3.7577561;40.3817613
1393;;MARQUESINA MOD XXI 4-M STD;CENTRO;SALESAS (DE LAS);PZA;0;FTE Nº 8;C/ FERNANDO VI;SALESAS (DE LAS), PZA Nº0 FTE Nº 8 C/ FERNANDO VI;441193,2;4475254,2;SI;37/;441083,79;4475046,72;-3.6945227;40.4239673
918;;MARQUESINA MOD XXI 4-M STD;CARABANCHEL;ANTONIO LOPEZ;CALLE;4;DESP. GTA MARQUES DE VADILLO;AV CORDOBA;ANTONIO LOPEZ, CALLE Nº4 DESP. GTA MARQUES DE VADILLO AV CORDOBA;439418,2;4472319,4;SI;23/N15/;439308,79;4472111,93;-3.7151655;40.3974018
919;;MARQUESINA MOD XXI 4-M STD;CARABANCHEL;ANTONIO LOPEZ;CALLE;0;FTE Nº 4;GTA MARQUES VADILLO;ANTONIO LOPEZ, CALLE Nº0 FTE Nº 4 GTA MARQUES VADILLO;439473,3;4472304;SI;23/N15/;439363,89;4472096,53;-3.7145148;40.397267
361;;MARQUESINA MOD XXI 4-M STD;LATINA;GENERAL MILLAN ASTRAY;CALLE;0;ESQ C/ GENERAL ROMERO BASART;C/ RAFAEL FINAT;GENERAL MILLAN ASTRAY, CALLE Nº0 ESQ C/ GENERAL ROMERO BASART C/ RAFAEL FINAT;435058,2;4470143,8;SI;34/155/483/487/;434948,81;4469936,37;-3.7663157;40.3774743
374;;MARQUESINA MOD XXI 5-M STD;LATINA;OLIVA DE PLASENCIA;CALLE;0;FTE Nº 27;G.ROMERO BASART;OLIVA DE PLASENCIA, CALLE Nº0 FTE Nº 27 G.ROMERO BASART;434124,7;4470630,5;SI;34/39/117/N19/;434015,32;4470423,08;-3.7773619;40.3817854
370;;MARQUESINA MOD XXI 5-M STD;LATINA;MIRABEL;CALLE;0;FTE Nº 36;OLIVA PLASENCIA;MIRABEL, CALLE Nº0 FTE Nº 36 OLIVA PLASENCIA;433865,9;4470307,2;SI;34/;433756,52;4470099,78;-3.7803769;40.3788525
909;;MARQUESINA MOD XXI 4-M STD;LATINA;AVIACION;AV;0;PROX. ACCESO N-V;CTRA. EXTREMADURA;AVIACION, AV Nº0 PROX. ACCESO N-V CTRA. EXTREMADURA;433419,4;4470524,7;SI;39/N19/;433310,03;4470317,28;-3.7856591;40.3807762
3132;;MARQUESINA MOD XXI 4-M STD;CARABANCHEL;ANTONIO LEYVA;CALLE;41;FTE. Nº 56;GªMARQUES DE VADILLO;ANTONIO LEYVA, CALLE Nº41 FTE. Nº 56 GªMARQUES DE VADILLO;439388,9;4471645,9;SI;116/;439279,49;4471438,43;-3.7154465;40.3913324
3057;;MARQUESINA MOD XXI 4-M STD;CARABANCHEL;ALBA DE TORMES;CALLE;11;ESQ C/ WITERICO;C/ DE LA SOMBRA;ALBA DE TORMES, CALLE Nº11 ESQ C/ WITERICO PZA PARROQUIA;437044,9;4470251,2;SI;108/;436935,49;4470043,75;-3.7429248;40.3785944
