CODIGO CONTENEDOR;CODIGO J.M.;DISTRITO;VIAL;DIRECCION;NUMERO;COORD UTM ETRS89 X;COORD UTM ETRS89 Y;FECHA PUESTA EN SERVICIO;Longitud;Latitud;Nombre
020074CV;5;CHAMARTIN;PASEO;CASTELLANA;68;441473.27;4476611.33;16/01/2017;-3,6900758;40,4380895;PASEO CASTELLANA, 68
020049CV;5;CHAMARTIN;AVENIDA;AMERICA;1;442539.37;4476566.61;19/12/2016;-3,6775024;40,437761;AVENIDA AMERICA, 1
020045CV;5;CHAMARTIN;AVENIDA;CONCHA ESPINA;34;442456.51;4478095.55;09/01/2017;-3,6786179;40,4515287;AVENIDA CONCHA ESPINA, 34
020046CV;5;CHAMARTIN;PLAZA;SAGRADOS CORAZONES;4;441875.62;4478151.71;09/01/2017;-3,6854731;40,4519942;PLAZA SAGRADOS CORAZONES, 4
020047CV;5;CHAMARTIN;AVENIDA;CONCHA ESPINA;16;441793.58;4478121.14;28/01/2017;-3,6864377;40,4517131;AVENIDA CONCHA ESPINA, 16
020055CV;5;CHAMARTIN;CALLE;SAN NAZARIO;7;443488.47;4477753.11;23/01/2017;-3,6664181;40,4485146;CALLE SAN NAZARIO, 7
020063CV;5;CHAMARTIN;CALLE;LOPEZ DE HOYOS;220;443620.40;4477971.07;09/01/2017;-3,6648818;40,4504871;CALLE LOPEZ DE HOYOS, 220
020066CV;5;CHAMARTIN;PLAZA;CATALUÑA;3;442503.04;4477809.29;09/01/2017;-3,6780432;40,4489532;PLAZA CATALUÑA, 3
020069CV;5;CHAMARTIN;AVENIDA;CONCHA ESPINA;51;442245.17;4478134.02;09/01/2017;-3,6811136;40,4518606;AVENIDA CONCHA ESPINA, 51
020042CV;5;CHAMARTIN;AVENIDA;ALBERTO ALCOCER;36;442184.45;4478865.02;28/01/2017;-3,6818962;40,4584416;AVENIDA ALBERTO ALCOCER, 36
020043CV;5;CHAMARTIN;AVENIDA;ALFONSO XIII;120;443453.98;4478780.82;28/01/2017;-3,6669164;40,4577704;AVENIDA ALFONSO XIII, 120
020044CV;5;CHAMARTIN;PASEO;LA HABANA;176;442283.44;4479083.53;09/01/2017;-3,6807486;40,4604169;PASEO LA HABANA, 176
020050CV;5;CHAMARTIN;AVENIDA;PIO XII;44;442844.76;4479848.77;28/01/2017;-3,6741974;40,4673493;AVENIDA PIO XII, 44
020051CV;5;CHAMARTIN;AVENIDA;PIO XII;51;442721.29;4479649.34;28/01/2017;-3,6756357;40,4655442;AVENIDA PIO XII, 51
020052CV;5;CHAMARTIN;AVENIDA;PIO XII;17;442680.39;4479276.35;23/01/2017;-3,6760844;40,4621814;AVENIDA PIO XII, 17
020053CV;5;CHAMARTIN;CALLE;ENRIQUE LARRETA;12;441769.90;4479981.69;28/01/2017;-3,6868876;40,4684721;CALLE ENRIQUE LARRETA, 12
020056CV;5;CHAMARTIN;CALLE;COSTA RICA;18;442842.29;4478852.84;23/01/2017;-3,6741368;40,4583773;CALLE COSTA RICA, 18
020057CV;5;CHAMARTIN;PASEO;LA HABANA;15;441641.20;4477913.95;03/05/2017;-3,6882156;40,4498359;PASEO LA HABANA, 15
020058CV;5;CHAMARTIN;CALLE;FELIX BOIX;8;441679.03;4479418.66;28/01/2017;-3,6879077;40,4633937;CALLE FELIX BOIX, 8
020060CV;5;CHAMARTIN;PASEO;CASTELLANA;246;441726.88;4480290.46;28/01/2017;-3,6874234;40,4712506;PASEO CASTELLANA, 246
020061CV;5;CHAMARTIN;CALLE;JUAN RAMON JIMENEZ;18;441781.71;4479092.68;28/01/2017;-3,6866668;40,4604643;CALLE JUAN RAMON JIMENEZ, 18
020065CV;5;CHAMARTIN;CALLE;PRINCIPE DE VERGARA;215;442533.01;4478123.04;23/01/2017;-3,6777182;40,4517816;CALLE PRINCIPE DE VERGARA, 215
020067CV;5;CHAMARTIN;CALLE;PRINCIPE DE VERGARA;283;442610.64;4478927.13;23/01/2017;-3,6768755;40,4590306;CALLE PRINCIPE DE VERGARA, 283
020068CV;5;CHAMARTIN;CALLE;COLOMBIA;5;442588.15;4478725.23;23/01/2017;-3,6771225;40,4572102;CALLE COLOMBIA, 5
020071CV;5;CHAMARTIN;CALLE;CARLOS MAURRAS;11;441694.03;4479258.75;28/01/2017;-3,6877161;40,4619542;CALLE CARLOS MAURRAS, 11
020072CV;5;CHAMARTIN;PASEO;CASTELLANA;276;441805.01;4480674.63;28/01/2017;-3,6865371;40,4747168;PASEO CASTELLANA, 276
020073CV;5;CHAMARTIN;PASEO;CASTELLANA;140;441484.47;4478127.92;28/01/2017;-3,6900835;40,4517524;PASEO CASTELLANA, 140
020059CV;5;CHAMARTIN;PASEO;CASTELLANA;124;441460.83;4477849.37;28/01/2017;-3,6903366;40,4492415;PASEO CASTELLANA, 124
020062CV;5;CHAMARTIN;GLORIETA;LOPEZ DE HOYOS;1;442238.94;4476857.95;19/12/2016;-3,681071;40,4403647;GLORIETA LOPEZ DE HOYOS, 1
020064CV;5;CHAMARTIN;CALLE;LOPEZ DE HOYOS;66;442479.64;4476996.69;19/12/2016;-3,6782456;40,4416312;CALLE LOPEZ DE HOYOS, 66
020070CV;5;CHAMARTIN;CALLE;VELAZQUEZ;143;442091.75;4477077.58;19/12/2016;-3,6828264;40,442333;CALLE VELAZQUEZ, 143
020075CV;5;CHAMARTIN;PLAZA;REPUBLICA ARGENTINA;6;441876.59;4477435.07;19/12/2016;-3,685396;40,4455384;PLAZA REPUBLICA ARGENTINA, 6
020041CV;5;CHAMARTIN;AVENIDA;ALBERTO ALCOCER;45;442424.90;4478900.20;28/01/2017;-3,6790636;40,4587752;AVENIDA ALBERTO ALCOCER, 45
